ParticipantName,TeamName,Position,ELO
Harry Kane,Bayern München,ATT,1803
Michael Olise,Bayern München,ATT,1709
Ozan Kabak,TSG 1899 Hoffenheim,DEF,1658
Robin Koch,Eintracht Frankfurt,DEF,1648
Alexander Nübel,VfB Stuttgart,GK,1641
Yan Diomande,RB Leipzig,ATT,1634
Moritz Nicolas,Borussia Mönchengladbach,GK,1633
Andrej Kramaric,TSG 1899 Hoffenheim,ATT,1632
Alejandro Grimaldo,Bayer 04 Leverkusen,MID,1624
Joshua Kimmich,Bayern München,MID,1623
Stefan Bell,1. FSV Mainz 05,DEF,1620
Gregor Kobel,Borussia Dortmund,GK,1618
Luka Vuskovic,Hamburger SV,DEF,1618
Angelo Stiller,VfB Stuttgart,MID,1616
Aleix Garcia,Bayer 04 Leverkusen,MID,1615
Patrick Mainka,1. FC Heidenheim 1846,DEF,1613
Haris Tabakovic,Borussia Mönchengladbach,ATT,1610
Grischa Prömel,TSG 1899 Hoffenheim,MID,1610
Serge Gnabry,Bayern München,ATT,1606
Aurèle Amenda,Eintracht Frankfurt,DEF,1604
Luis Diaz,Bayern München,ATT,1602
Felix Nmecha,Borussia Dortmund,MID,1602
Aleksandar Pavlovic,Bayern München,MID,1599
Andreas Hanche-Olsen,1. FSV Mainz 05,DEF,1599
Nadiem Amiri,1. FSV Mainz 05,MID,1597
Vincenzo Grifo,Sport-Club Freiburg,ATT,1597
Min-Jae Kim,Bayern München,DEF,1594
Jeff Chabot,VfB Stuttgart,DEF,1594
Péter Gulácsi,RB Leipzig,GK,1592
Jordan Torunarigha,Hamburger SV,DEF,1592
Julian Brandt,Borussia Dortmund,ATT,1590
Willi Orban,RB Leipzig,DEF,1589
Nico Elvedi,Borussia Mönchengladbach,DEF,1588
Can Uzun,Eintracht Frankfurt,ATT,1588
Nikola Vasilj,FC St. Pauli,GK,1588
Chris Führich,VfB Stuttgart,ATT,1587
Matthias Ginter,Sport-Club Freiburg,DEF,1586
Fares Chaibi,Eintracht Frankfurt,MID,1585
Jonathan Burkardt,Eintracht Frankfurt,ATT,1584
Christoph Baumgartner,RB Leipzig,MID,1583
Tim Siersleben,1. FC Heidenheim 1846,DEF,1583
Maximilian Mittelstaedt,VfB Stuttgart,DEF,1581
Deniz Undav,VfB Stuttgart,ATT,1581
Danilho Doekhi,1. FC Union Berlin,DEF,1580
Amos Pieper,SV Werder Bremen,DEF,1580
Castello Lukeba,RB Leipzig,DEF,1578
Nicolas Seiwald,RB Leipzig,MID,1575
Samuel Mbangula,SV Werder Bremen,ATT,1574
Lukas Kübler,Sport-Club Freiburg,DEF,1574
Forzan Assan Ouedraogo,RB Leipzig,MID,1572
Chrislain Matsima,FC Augsburg,DEF,1571
Kaishu Sano,1. FSV Mainz 05,MID,1571
Jakub Kaminski,1. FC Köln,ATT,1571
Aaron Zehnter,VfL Wolfsburg,DEF,1568
Fisnik Asllani,TSG 1899 Hoffenheim,ATT,1567
