ParticipantName,TeamName,Position,ELO
Harry Kane,Bayern München,ATT,1756
Omar Marmoush,Eintracht Frankfurt,ATT,1749
Péter Gulácsi,RB Leipzig,GK,1742
Jonathan Burkardt,1. FSV Mainz 05,ATT,1712
Joshua Kimmich,Bayern München,MID,1701
Patrik Schick,Bayer 04 Leverkusen,ATT,1700
Michael Olise,Bayern München,ATT,1698
Finn Dahmen,FC Augsburg,GK,1692
Florian Wirtz,Bayer 04 Leverkusen,ATT,1690
Nikola Vasilj,FC St. Pauli,GK,1681
Hugo Ekitike,Eintracht Frankfurt,ATT,1666
Manuel Neuer,Bayern München,GK,1651
Benjamin Sesko,RB Leipzig,ATT,1643
Granit Xhaka,Bayer 04 Leverkusen,MID,1640
Ritsu Doan,Sport-Club Freiburg,ATT,1638
Leon Goretzka,Bayern München,MID,1638
Vincenzo Grifo,Sport-Club Freiburg,ATT,1627
Exequiel Palacios,Bayer 04 Leverkusen,MID,1627
Nico Elvedi,Borussia Mönchengladbach,DEF,1626
Aleix Garcia,Bayer 04 Leverkusen,MID,1626
Denis Vavro,VfL Wolfsburg,DEF,1626
Xavi Simons,RB Leipzig,ATT,1623
Romano Schmid,SV Werder Bremen,MID,1619
Angelo Stiller,VfB Stuttgart,MID,1617
Alassane Plea,Borussia Mönchengladbach,ATT,1615
Robin Zentner,1. FSV Mainz 05,GK,1612
Rocco Reitz,Borussia Mönchengladbach,MID,1611
Tim Kleindienst,Borussia Mönchengladbach,ATT,1608
Diogo Leite,1. FC Union Berlin,DEF,1607
Franck Honorat,Borussia Mönchengladbach,ATT,1606
Moritz Nicolas,Borussia Mönchengladbach,GK,1605
Julian Brandt,Borussia Dortmund,ATT,1604
Shuto Machino,Holstein Kiel,ATT,1601
Serhou Guirassy,Borussia Dortmund,ATT,1601
Robin Koch,Eintracht Frankfurt,DEF,1600
Alejandro Grimaldo,Bayer 04 Leverkusen,MID,1599
Eric Dier,Bayern München,DEF,1596
Jamal Musiala,Bayern München,ATT,1596
Noah Atubolu,Sport-Club Freiburg,GK,1595
Jens Stage,SV Werder Bremen,MID,1592
Nadiem Amiri,1. FSV Mainz 05,MID,1592
Jeremie Frimpong,Bayer 04 Leverkusen,MID,1592
Kevin Trapp,Eintracht Frankfurt,GK,1592
