ParticipantName,TeamName,Position,ELO
Kylian Mbappé,Real Madrid,ATT,1771
Lamine Yamal,Barcelona,ATT,1763
Pablo Fornals,Real Betis,MID,1689
Pedri,Barcelona,MID,1666
Aaron Escandell,Real Oviedo,GK,1660
Kike Salas,Sevilla,DEF,1658
Joan Garcia,Barcelona,GK,1640
Alberto Moleiro,Villarreal,MID,1630
Vedat Muriqi,Mallorca,ATT,1627
Jan Oblak,Atlético de Madrid,GK,1626
Raphinha,Barcelona,ATT,1622
Thibaut Courtois,Real Madrid,GK,1621
Giuliano Simeone,Atlético de Madrid,MID,1609
Ante Budimir,Osasuna,ATT,1609
Gerard Moreno,Villarreal,ATT,1605
Ionut Andrei Radu,Celta de Vigo,GK,1603
Marc Bartra,Real Betis,DEF,1601
Aymeric Laporte,Athletic Club,DEF,1598
Pablo Barrios,Atlético de Madrid,MID,1597
Rafa Marin,Villarreal,DEF,1595
Adrián De La Fuente,Levante,DEF,1593
Dani Olmo,Barcelona,ATT,1592
Germán Valera,Elche,MID,1591
Leandro Cabrera,Espanyol,DEF,1589
Goncalo Guedes,Real Sociedad,ATT,1587
Mikel Vesga,Athletic Club,MID,1585
Inaki Pena,Elche,GK,1583
Jorge Herrando,Osasuna,DEF,1580
Sergio Herrera,Osasuna,GK,1580
Roony Bardghji,Barcelona,ATT,1580
Marko Dmitrovic,Espanyol,GK,1578
Arda Güler,Real Madrid,ATT,1578
Marcos Alonso,Celta de Vigo,DEF,1577
Juan Foyth,Villarreal,DEF,1576
Juan Hernández,Real Betis,ATT,1576
Chidera Ejuke,Sevilla,ATT,1575
Luis Milla,Getafe,MID,1575
Luis Rioja,Valencia CF,MID,1575
Carlos Romero,Espanyol,DEF,1573
Álvaro Rodriguez,Elche,ATT,1572
Sergi Altimira,Real Betis,MID,1571
Ruben Vargas,Sevilla,ATT,1571
Fernando Calero,Espanyol,DEF,1571
Antoine Griezmann,Atlético de Madrid,ATT,1571
Dani Ceballos,Real Madrid,MID,1570
Eduardo Camavinga,Real Madrid,MID,1569
Unai Simon,Athletic Club,GK,1567
Daley Blind,Girona,DEF,1567
Nahuel Tenaglia,Alavés,DEF,1567
Martim Neto,Elche,MID,1566
Matias Moreno,Levante,DEF,1566
Sergio Carreira,Celta de Vigo,MID,1566
Ricardo Rodriguez,Real Betis,DEF,1565
Mathew Ryan,Levante,GK,1564
Marc Casado,Barcelona,MID,1563
Koke,Atlético de Madrid,MID,1562
Nico Williams,Athletic Club,ATT,1562
Antonio Raillo,Mallorca,DEF,1562
Marc Aguado,Elche,MID,1562
Takefusa Kubo,Real Sociedad,ATT,1562
Thomas Partey,Villarreal,MID,1561
Julián Álvarez,Atlético de Madrid,ATT,1561
Carl Starfelt,Celta de Vigo,DEF,1560
Robert Navarro,Athletic Club,ATT,1560
Éder Militao,Real Madrid,DEF,1559
David Costas,Real Oviedo,DEF,1559
David Hancko,Atlético de Madrid,DEF,1559
Viktor Tsigankov,Girona,ATT,1558
Unai Elgezabal,Levante,DEF,1558
Rahim Alhassane,Real Oviedo,DEF,1558
Pedro Bigas,Elche,DEF,1557
Javi Rueda,Celta de Vigo,DEF,1556
Federico Valverde,Real Madrid,DEF,1555
Fermin Lopez,Barcelona,ATT,1555
Natan,Real Betis,DEF,1554
Aitor Ruibal,Real Betis,DEF,1554
Valentin Gomez,Real Betis,DEF,1553
Jan Virgili,Mallorca,ATT,1553
Hector Bellerin,Real Betis,DEF,1552
Frenkie de Jong,Barcelona,MID,1552
Dean Huijsen,Real Madrid,DEF,1552
Mikel Jauregizar,Athletic Club,MID,1552
Eric Garcia,Barcelona,DEF,1551
Alejandro Francés,Girona,DEF,1551
Vitor Reis,Girona,DEF,1550
Carlos Vicente,Alavés,ATT,1549
Nobel Mendy,Rayo Vallecano,DEF,1549
Léo Pétrot,Elche,DEF,1548
Conor Gallagher,Atlético de Madrid,MID,1547
Sergi Cardona,Villarreal,DEF,1547
Akor Adams,Sevilla,ATT,1546
Martin Valjent,Mallorca,DEF,1546
Jon Pacheco,Alavés,DEF,1546
Abdessamad Ezzalzouli,Real Betis,ATT,1546
Ronald Araujo,Barcelona,DEF,1545
Hugo Sotelo,Celta de Vigo,MID,1545
Borja Mayoral,Getafe,ATT,1545
Florian Lejeune,Rayo Vallecano,DEF,1544
Ramon Terrats,Espanyol,MID,1544
Rubén Sánchez,Espanyol,DEF,1544
Pepelu,Valencia CF,MID,1544
Mikel Oyarzabal,Real Sociedad,ATT,1544
Aitor Paredes,Athletic Club,DEF,1543
Arnau Martinez,Girona,DEF,1542
Robert Lewandowski,Barcelona,ATT,1541
Ferran Torres,Barcelona,ATT,1541
Robin Le Normand,Atlético de Madrid,DEF,1541
Álex Baena,Atlético de Madrid,MID,1540
Carlos Álvarez,Levante,MID,1540
Jon Martin,Real Sociedad,DEF,1540
Borja Iglesias,Celta de Vigo,ATT,1539
Pau Cubarsi,Barcelona,DEF,1539
Georges Mikautadze,Villarreal,ATT,1539
Roberto Fernández,Espanyol,ATT,1539
Andreas Christensen,Barcelona,DEF,1538
