ParticipantName,TeamName,Position,ELO
Kylian Mbappé,Real Madrid,ATT,1753
Robert Lewandowski,Barcelona,ATT,1745
Pedri,Barcelona,MID,1704
Ante Budimir,Osasuna,ATT,1701
Oihan Sancet,Athletic Club,ATT,1686
Julián Álvarez,Atlético de Madrid,ATT,1684
Joan Garcia,Espanyol,GK,1672
Lamine Yamal,Barcelona,ATT,1670
Raphinha,Barcelona,ATT,1669
Ayoze Pérez,Villarreal,ATT,1667
Álex Baena,Villarreal,MID,1663
Rodrygo,Real Madrid,ATT,1659
Marko Dmitrovic,Leganés,GK,1658
Fernando Calero,Espanyol,DEF,1657
Unai Simon,Athletic Club,GK,1656
Jan Oblak,Atlético de Madrid,GK,1652
Marc Bartra,Real Betis,DEF,1650
Thibaut Courtois,Real Madrid,GK,1647
Dani Olmo,Barcelona,ATT,1645
Federico Valverde,Real Madrid,DEF,1633
Isco,Real Betis,ATT,1630
Daniel Vivian,Athletic Club,DEF,1629
Alexander Sørloth,Atlético de Madrid,ATT,1628
Luka Modric,Real Madrid,MID,1628
Nico Williams,Athletic Club,ATT,1626
David Soria,Getafe,GK,1621
Juan Cruz,Leganés,MID,1619
Leandro Cabrera,Espanyol,DEF,1616
Ferran Torres,Barcelona,ATT,1615
Frenkie de Jong,Barcelona,MID,1612
Jorge Sáenz,Leganés,DEF,1610
Alex Remiro,Real Sociedad,GK,1610
Sergio González,Leganés,DEF,1610
Juanma Herzog,Las Palmas,DEF,1606
Aitor Paredes,Athletic Club,DEF,1605
Matija Nastasic,Leganés,DEF,1605
Iago Aspas,Celta de Vigo,ATT,1600
Carlos Dominguez,Celta de Vigo,DEF,1598
Conor Gallagher,Atlético de Madrid,MID,1596
Daniel Raba,Leganés,ATT,1595
Sergio Herrera,Osasuna,GK,1594
Oscar Mingueza,Celta de Vigo,MID,1594
Yeray Álvarez,Athletic Club,DEF,1593
Joan Jordán,Alavés,MID,1593
Kike Salas,Sevilla,DEF,1592
Giovani Lo Celso,Real Betis,ATT,1592
Marcos Llorente,Atlético de Madrid,DEF,1591
Antoine Griezmann,Atlético de Madrid,ATT,1591
Diego Llorente,Real Betis,DEF,1591
Giuliano Simeone,Atlético de Madrid,MID,1590
Martin Valjent,Mallorca,DEF,1590
Cristhian Stuani,Girona,ATT,1589
Kike Garcia,Alavés,ATT,1587
Sergi Darder,Mallorca,MID,1587
Juan Foyth,Villarreal,DEF,1586
Carlos Vicente,Alavés,ATT,1585
Borja Iglesias,Celta de Vigo,ATT,1585
Rubén Garcia,Osasuna,ATT,1584
Marc Casado,Barcelona,MID,1583
Eduardo Camavinga,Real Madrid,MID,1582
Logan Costa,Villarreal,DEF,1582
Chidera Ejuke,Sevilla,ATT,1580
Diego Lopez,Valencia CF,ATT,1579
Oscar de Marcos,Athletic Club,DEF,1578
Pablo Fornals,Real Betis,MID,1577
Luis Rioja,Valencia CF,MID,1576
Rodrigo De Paul,Atlético de Madrid,MID,1576
Francisco Garcia,Real Madrid,DEF,1575
Inaki Williams,Athletic Club,ATT,1574
Alberto Moleiro,Las Palmas,MID,1574
Domingos Duarte,Getafe,DEF,1573
Borja Mayoral,Getafe,ATT,1572
Sergio Carreira,Celta de Vigo,MID,1572
Iván Martin,Girona,MID,1571
Alex Munoz,Las Palmas,DEF,1569
Dominik Greif,Mallorca,GK,1568
Denis Suárez,Villarreal,MID,1566
Ramon Terrats,Getafe,MID,1566
Gerard Martin,Barcelona,DEF,1564
Álvaro Tejero,Espanyol,DEF,1563
Fran Beltrán,Celta de Vigo,MID,1561
Vinicius Junior,Real Madrid,ATT,1561
Johnny Cardoso,Real Betis,MID,1560
Roberto Fernández,Espanyol,ATT,1560
Pedro Diaz,Rayo Vallecano,MID,1560
Kirian Rodriguez,Las Palmas,MID,1560
Nahuel Molina,Atlético de Madrid,DEF,1559
Wojciech Szczesny,Barcelona,GK,1559
Dani Ceballos,Real Madrid,MID,1557
Daley Blind,Girona,DEF,1556
Viktor Tsigankov,Girona,ATT,1555
Arnau Martinez,Girona,DEF,1555
Sandro Ramirez,Las Palmas,ATT,1554
Javier Guerra,Valencia CF,MID,1554
Pablo Barrios,Atlético de Madrid,MID,1554
Manuel Fuster,Las Palmas,MID,1553
Mikel Vesga,Athletic Club,MID,1551
José Giménez,Atlético de Madrid,DEF,1551
Koke,Atlético de Madrid,MID,1550
Willy Kambwala,Villarreal,DEF,1550
Dodi Lukebakio,Sevilla,ATT,1548
Daniel Parejo,Villarreal,MID,1548
Alfon González,Celta de Vigo,ATT,1547
Raul Asencio,Real Madrid,DEF,1547
Raul Moro,Real Valladolid,ATT,1546
Gerard Moreno,Villarreal,ATT,1546
Aritz Elustondo,Real Sociedad,DEF,1546
Carl Starfelt,Celta de Vigo,DEF,1546
Javi Sánchez,Real Valladolid,DEF,1545
Jasper Cillessen,Las Palmas,GK,1545
Pablo Torre,Barcelona,ATT,1544
Luis Milla,Getafe,MID,1543
Eric Garcia,Barcelona,DEF,1543
Juan Hernández,Real Betis,ATT,1542
Arda Güler,Real Madrid,ATT,1542
José Campana,Las Palmas,MID,1541
Abdul Mumin,Rayo Vallecano,DEF,1541
Brahim Diaz,Real Madrid,ATT,1540
Florian Lejeune,Rayo Vallecano,DEF,1540
Fermin Lopez,Barcelona,ATT,1540
Nicolas Pépé,Villarreal,ATT,1539
Giorgi Mamardashvili,Valencia CF,GK,1539
Williot Swedberg,Celta de Vigo,ATT,1538
Antony,Real Betis,ATT,1538
José Copete,Mallorca,DEF,1537
Ørjan Håskjold Nyland,Sevilla,GK,1536
Juanlu Sánchez,Sevilla,DEF,1536
Alex Berenguer,Athletic Club,ATT,1535
Jules Koundé,Barcelona,DEF,1535
David Lopez,Girona,DEF,1535
Juan Iglesias,Getafe,DEF,1535
Jude Bellingham,Real Madrid,ATT,1534
Pau Cubarsi,Barcelona,DEF,1534
Flavien Boyomo,Osasuna,DEF,1534
Daniel Rodriguez,Mallorca,ATT,1533
Inigo Martinez,Barcelona,DEF,1532
Natan,Real Betis,DEF,1531
Omar Alderete,Getafe,DEF,1531
Sergio Gomez,Real Sociedad,DEF,1530
Raul Garcia,Osasuna,ATT,1529
Moi Gomez,Osasuna,MID,1529
Mika Mármol,Las Palmas,DEF,1529
Jesus Rodriguez,Real Betis,ATT,1528
Juan Bernat,Getafe,MID,1528
Luis Pérez,Real Valladolid,DEF,1528
César Tárrega,Valencia CF,DEF,1527
Augusto Batalla,Rayo Vallecano,GK,1527
Pape Gueye,Villarreal,MID,1526
Iván Sánchez,Real Valladolid,MID,1526
Djibril Sow,Sevilla,MID,1526
Pep Chavarria,Rayo Vallecano,DEF,1526
Youssouf Sabaly,Real Betis,DEF,1526
Lucas Vázquez,Real Madrid,DEF,1525
Javi Rodriguez,Celta de Vigo,DEF,1524
Yaser Asprilla,Girona,ATT,1524
Mauro Arambarri,Getafe,MID,1524
Assane Diao,Real Betis,ATT,1524
Thierno Barry,Villarreal,ATT,1523
Bryan Gil,Girona,ATT,1522
Aitor Ruibal,Real Betis,DEF,1522
Seydouba Cisse,Leganés,MID,1522
Martin Zubimendi,Real Sociedad,MID,1522
Marash Kumbulla,Espanyol,DEF,1522
Javier Puado,Espanyol,ATT,1522
Pablo Durán,Celta de Vigo,ATT,1521
Bryan Zaragoza,Osasuna,ATT,1521
Miguel Gutiérrez,Girona,DEF,1521
Santi Comesana,Villarreal,MID,1520
Antonio Rüdiger,Real Madrid,DEF,1519
Valentin Rosier,Leganés,DEF,1518
Inigo Ruiz de Galarreta,Athletic Club,MID,1518
Aurélien Tchouaméni,Real Madrid,MID,1518
Andrei Ratiu,Rayo Vallecano,DEF,1518
Sergi Altimira,Real Betis,MID,1517
Munir El Haddadi,Leganés,ATT,1517
Pere Milla,Espanyol,MID,1517
Antonio Martinez,Alavés,ATT,1517
Abel Bretones,Osasuna,MID,1517
Antonio Raillo,Mallorca,DEF,1516
Andriy Lunin,Real Madrid,GK,1516
Fabio Silva,Las Palmas,ATT,1515
Santiago Mourino,Alavés,DEF,1515
Gorka Guruzeta,Athletic Club,ATT,1515
Hugo Duro,Valencia CF,ATT,1515
Mouctar Diakhaby,Valencia CF,DEF,1515
Enzo Barrenechea,Valencia CF,MID,1514
Stanis Idumbo,Sevilla,ATT,1514
Mikel Jauregizar,Athletic Club,MID,1514
Nayef Aguerd,Real Sociedad,DEF,1514
Iker Losada,Celta de Vigo,MID,1514
Yan Diomande,Leganés,ATT,1514
Yuri Berchiche,Athletic Club,DEF,1513
Bojan Miovski,Girona,ATT,1513
Alejandro Balde,Barcelona,DEF,1512
Reinildo,Atlético de Madrid,DEF,1511
Iker Munoz,Osasuna,MID,1510
Johan Mojica,Mallorca,DEF,1510
Jhon Solis,Girona,MID,1509
Takefusa Kubo,Real Sociedad,ATT,1508
Mario Maroto,Real Valladolid,Code_2,1508
Mikel Oyarzabal,Real Sociedad,ATT,1507
Sergio Camello,Rayo Vallecano,ATT,1507
Lucien Agoume,Sevilla,MID,1507
Vicente Guaita,Celta de Vigo,GK,1506
Pau Victor,Barcelona,ATT,1506
Albert Sambi Lokonga,Sevilla,MID,1505
Ruben Vargas,Sevilla,ATT,1505
Alfonso Pedraza,Villarreal,DEF,1505
Javier Hernández,Leganés,DEF,1504
Etta Eyong,Villarreal,ATT,1504
Arsen Zakharyan,Real Sociedad,ATT,1504
Pau Cabanes,Villarreal,ATT,1504
Iván Balliu,Rayo Vallecano,DEF,1504
Gabriel Misehouy,Girona,ATT,1504
Andoni Gorosabel,Athletic Club,DEF,1503
Pepelu,Valencia CF,MID,1503
Jesus Vázquez,Valencia CF,DEF,1503
Loic Badé,Sevilla,DEF,1502
Scott McKenna,Las Palmas,DEF,1502
Unai Gomez,Athletic Club,ATT,1502
Pablo Ibánez,Osasuna,MID,1502
Nemanja Gudelj,Sevilla,DEF,1501
Endika Bujan,Athletic Club,Code_3,1500
Omar Mascarell,Mallorca,MID,1500
Diego Martin,Las Palmas,Code_3,1500
Oscar Rodriguez,Leganés,MID,1500
Ramon Martinez,Sevilla,DEF,1500
Clément Lenglet,Atlético de Madrid,DEF,1500
Ferran Ruiz,Girona,Code_1,1500
Alejandro Catena,Osasuna,DEF,1500
Lucas Ocampos,Sevilla,ATT,1499
Rubén Pena,Osasuna,DEF,1499
Amath Ndiaye,Real Valladolid,ATT,1499
Iker Almena,Girona,ATT,1499
Israel Dominguez,Sevilla,Code_2,1498
Arturo Rodriguez,Las Palmas,Code_2,1498
Carlos Romero,Espanyol,DEF,1498
Jose Carlos Gonzalez,Las Palmas,Code_2,1498
Viti,Las Palmas,DEF,1497
Cristhian Mosquera,Valencia CF,DEF,1497
Arkaitz Mariezkurrena,Real Sociedad,ATT,1496
Valery Fernández,Mallorca,ATT,1496
Manu Bueno,Sevilla,MID,1496
Darwin Machis,Real Valladolid,MID,1496
Jesus Navas,Sevilla,ATT,1496
Eray Cömert,Real Valladolid,DEF,1496
Angel Ortiz,Real Betis,DEF,1495
Ricardo Rodriguez,Real Betis,DEF,1495
Cyle Larin,Mallorca,ATT,1495
Jesus Vallejo,Real Madrid,DEF,1495
Arnaut Danjuma,Girona,ATT,1494
Antonio Sánchez,Mallorca,MID,1493
Takuma Asano,Mallorca,ATT,1493
André Almeida,Valencia CF,ATT,1493
Darko Brasanac,Leganés,MID,1492
Julian Chicco,Leganés,MID,1492
Juan Cruz,Osasuna,DEF,1492
Ander Guevara,Alavés,MID,1492
Aihen Munoz,Real Sociedad,DEF,1492
Rodrigo Riquelme,Atlético de Madrid,ATT,1491
Gonzalo Garcia,Real Madrid,ATT,1491
Allan Nyom,Getafe,DEF,1491
Luiz Junior,Villarreal,GK,1491
Roberto Lopez,Leganés,ATT,1491
Inaki Pena,Barcelona,GK,1491
Marvin Park,Las Palmas,DEF,1491
Ilias Akhomach,Villarreal,MID,1490
Maroan Sannadi,Athletic Club,ATT,1490
Hector Bellerin,Real Betis,DEF,1490
Isi Palazon,Rayo Vallecano,ATT,1490
Umar Sadiq,Real Sociedad,ATT,1489
Alberto Risco,Getafe,ATT,1489
Xavi Moreno,Real Valladolid,ATT,1489
Etienne Eto'o,Rayo Vallecano,ATT,1489
Alberto Mari,Valencia CF,ATT,1489
Min-Su Kim,Girona,ATT,1489
Sebastien Haller,Leganés,ATT,1489
Valentin Pezzolesi,Las Palmas,ATT,1489
Aingeru Olabarrieta,Athletic Club,ATT,1489
Kenedy,Real Valladolid,ATT,1489
Juanmi,Real Betis,ATT,1489
Adu Ares,Athletic Club,ATT,1489
Peio Canales,Athletic Club,ATT,1489
Rodri,Real Betis,ATT,1489
Raul de Tomas,Rayo Vallecano,ATT,1489
Pablo Garcia,Real Betis,ATT,1489
Ivan Jaime,Valencia CF,ATT,1489
Adrián Nino,Atlético de Madrid,ATT,1489
Tajon Buchanan,Villarreal,MID,1489
Jon Magunazelaia,Real Sociedad,ATT,1489
Daniel Rodriguez,Barcelona,ATT,1489
Daniel Luna,Mallorca,ATT,1489
Javi Llabrés,Mallorca,ATT,1489
Dani Diaz,Real Sociedad,ATT,1489
Martin Tejon,Valencia CF,ATT,1489
Naci Ünüvar,Espanyol,ATT,1489
Javi Martinez,Osasuna,ATT,1489
Nico Serrano,Athletic Club,ATT,1489
Mamadou Sylla,Real Valladolid,ATT,1489
Chuki,Real Valladolid,ATT,1488
Coba da Costa,Getafe,MID,1488
Aimar Oroz,Osasuna,ATT,1487
Daniel Gomez,Valencia CF,ATT,1487
Oscar Trejo,Rayo Vallecano,ATT,1486
Hugo Sotelo,Celta de Vigo,MID,1486
Roger Hinojo,Espanyol,DEF,1485
Raul Chasco,Real Valladolid,DEF,1485
Sergio Arribas,Real Betis,DEF,1485
Borna Barisic,Leganés,DEF,1485
Iker Cordoba,Valencia CF,DEF,1485
Papa Ba,Girona,DEF,1485
Siebe van der Heyden,Mallorca,DEF,1485
Henrique Silva,Real Valladolid,DEF,1485
Iago Parente,Real Valladolid,DEF,1485
Diego Hormigo,Sevilla,DEF,1485
Jacobo Ramon,Real Madrid,DEF,1485
Nacho Vidal,Osasuna,DEF,1485
Luken Beitia,Real Sociedad,DEF,1485
Enric Franquesa,Leganés,DEF,1485
Maximiliano Caufriez,Valencia CF,DEF,1485
Lorenzo Aguado,Real Madrid,DEF,1485
Unai Garcia,Osasuna,DEF,1485
David Lopez,Mallorca,DEF,1485
David Argüelles,Getafe,DEF,1485
Aritz Arambarri,Leganés,DEF,1485
Arnau Solà,Villarreal,DEF,1485
Joseph Aidoo,Real Valladolid,DEF,1485
César Azpilicueta,Atlético de Madrid,DEF,1485
Vedat Muriqi,Mallorca,ATT,1485
Ángel Correa,Atlético de Madrid,ATT,1485
Juan Berrocal,Getafe,DEF,1484
Carlos Martin,Alavés,ATT,1484
Rui Silva,Real Betis,GK,1484
Sheraldo Becker,Real Sociedad,ATT,1484
Nabil Fekir,Real Betis,ATT,1483
Hugo Álvarez,Celta de Vigo,ATT,1483
José Arnáiz,Osasuna,MID,1483
Fran Pérez,Valencia CF,ATT,1483
Irvin Cardona,Espanyol,ATT,1483
Carles Alena,Alavés,ATT,1483
Gerard Fernandez,Sevilla,ATT,1483
Saul Niguez,Sevilla,MID,1483
Valentin Barco,Sevilla,MID,1482
Hugo Novoa,Alavés,MID,1482
Carles Alena,Getafe,ATT,1481
Leandro Antonetti,Sevilla,ATT,1481
José Gragera,Espanyol,MID,1481
Luka Romero,Alavés,ATT,1481
Marc Domenech,Mallorca,ATT,1481
Kelechi Iheanacho,Sevilla,ATT,1481
Victor Munoz,Real Madrid,ATT,1481
Adrián Arnuncio,Real Valladolid,ATT,1481
Jofre Carreras,Espanyol,ATT,1481
Akor Adams,Sevilla,ATT,1481
Thomas Lemar,Atlético de Madrid,ATT,1481
Jan Salas,Mallorca,MID,1481
Oli McBurnie,Las Palmas,ATT,1481
Abdoulaye Keita,Getafe,MID,1481
Selvi Clua,Girona,MID,1480
Dani Requena,Villarreal,MID,1480
Gorka Rivera,Getafe,MID,1480
Daley Sinkgraven,Las Palmas,MID,1480
Pejino,Las Palmas,MID,1480
Sergi Cardona,Villarreal,DEF,1480
Ibrahim Alani,Real Valladolid,MID,1480
Germán Valera,Valencia CF,MID,1480
Carles Pérez,Getafe,ATT,1480
Tadeo Allende,Celta de Vigo,MID,1480
Iker Benito,Osasuna,MID,1480
Éder Militao,Real Madrid,DEF,1480
Juan Bernat,Villarreal,MID,1480
Carlos Guirao,Real Betis,MID,1480
Fabio González,Las Palmas,MID,1480
David Otorbi,Valencia CF,MID,1480
Luca de la Torre,Celta de Vigo,MID,1480
Justin Smith,Espanyol,MID,1480
Chema Andres,Real Madrid,MID,1480
Aboubacar Bassinga,Las Palmas,MID,1480
Axel Witsel,Atlético de Madrid,MID,1479
Benito,Las Palmas,MID,1479
Álvaro Garcia,Rayo Vallecano,ATT,1478
Pablo Maffeo,Mallorca,DEF,1477
Leo Román,Mallorca,GK,1476
Dani Cárdenas,Rayo Vallecano,GK,1476
Mihailo Ristic,Celta de Vigo,MID,1476
Oriol Romeu,Girona,MID,1476
Unai Lopez,Rayo Vallecano,MID,1476
Juan Musso,Atlético de Madrid,GK,1476
Jonathan Bamba,Celta de Vigo,ATT,1476
Stoichkov,Alavés,ATT,1476
Marc Roca,Real Betis,MID,1475
Jorge de Frutos,Rayo Vallecano,ATT,1475
Alvaro Djalo,Athletic Club,ATT,1474
Franco Cervi,Celta de Vigo,ATT,1474
James Rodriguez,Rayo Vallecano,ATT,1474
Pau Cabanes,Alavés,ATT,1474
Abderrahman Rebbach,Alavés,ATT,1474
Javier Marton,Athletic Club,ATT,1474
Sergio Viera,Las Palmas,ATT,1474
Romain Perraud,Real Betis,DEF,1474
Lucas Rosa,Real Valladolid,DEF,1473
Benat Turrientes,Real Sociedad,MID,1473
Kiko,Villarreal,DEF,1473
Alvaro Pascual,Sevilla,ATT,1473
Samuel Dias Lino,Atlético de Madrid,ATT,1473
Julen Agirrezabala,Athletic Club,GK,1472
Alex Kral,Espanyol,ATT,1472
Igor Zubeldia,Real Sociedad,DEF,1471
Anastasios Douvikas,Celta de Vigo,ATT,1471
Álvaro Odriozola,Real Sociedad,DEF,1470
Antonio Candela,Real Valladolid,DEF,1470
Cenk Özkacar,Real Valladolid,DEF,1470
Mateu Morey,Mallorca,DEF,1470
Aridane Hernández,Rayo Vallecano,DEF,1470
Juma Bah,Real Valladolid,DEF,1470
Yarek Gasiorowski,Valencia CF,DEF,1470
Adrian Pica,Alavés,DEF,1470
Nobel Mendy,Real Betis,DEF,1470
Sergi Dominguez,Barcelona,DEF,1470
Pelayo Fernandez,Rayo Vallecano,DEF,1470
Sergi Gomez,Espanyol,DEF,1470
Rodrigo Abajas,Valencia CF,DEF,1470
Gonzalo Montiel,Sevilla,DEF,1470
Inigo Lekue,Athletic Club,DEF,1470
David Alaba,Real Madrid,DEF,1470
Daniel Carvajal,Real Madrid,DEF,1470
Andy Pelmard,Las Palmas,DEF,1470
Pau Navarro,Villarreal,DEF,1470
Nabil Aberdin,Getafe,DEF,1470
Javier Manquillo,Celta de Vigo,DEF,1470
Thierry Correia,Valencia CF,DEF,1470
Javi Lopez,Real Sociedad,DEF,1470
William Carvalho,Real Betis,MID,1469
Jon Olasagasti,Real Sociedad,ATT,1469
Gerard Gumbau,Rayo Vallecano,MID,1469
Adrià Pedrosa,Sevilla,DEF,1468
Victor Meseguer,Real Valladolid,MID,1468
Abel Ruiz,Girona,ATT,1468
Paulo Gazzaniga,Girona,GK,1467
Duk,Leganés,MID,1467
Florian Grillitsch,Real Valladolid,MID,1467
Christantus Uche,Getafe,ATT,1467
Manu Morlanes,Mallorca,MID,1467
Pablo Marin,Real Sociedad,ATT,1467
Mateo Flores,Real Betis,MID,1466
Edu Exposito,Espanyol,ATT,1466
Peter González,Getafe,ATT,1466
Ansu Fati,Barcelona,ATT,1466
Fer Lopez,Celta de Vigo,ATT,1465
Hamari Traoré,Real Sociedad,DEF,1465
Dario Benavides,Sevilla,MID,1465
Antonio Sivera,Alavés,GK,1465
Dimitri Foulquier,Valencia CF,DEF,1465
Rafel Bauza,Espanyol,MID,1465
Ronald Araujo,Barcelona,DEF,1465
John Patrick,Getafe,MID,1465
Jon Martin,Real Sociedad,DEF,1465
Thiago Ojeda,Villarreal,MID,1465
Brian Oliván,Espanyol,DEF,1465
Yoel Lago,Celta de Vigo,DEF,1465
Suso,Sevilla,ATT,1464
Carlos Protesoni,Alavés,MID,1464
Benat Prados,Athletic Club,MID,1463
Jon Aramburu,Real Sociedad,DEF,1463
Yangel Herrera,Girona,MID,1462
Robin Le Normand,Atlético de Madrid,DEF,1462
Donny van de Beek,Girona,ATT,1462
Kike Pérez,Real Valladolid,MID,1461
Ladislav Krejci,Girona,DEF,1461
Endrick,Real Madrid,ATT,1461
Aitor Fernández,Osasuna,GK,1461
Marc-Andre ter Stegen,Barcelona,GK,1461
José Gayà,Valencia CF,DEF,1461
Urko González,Espanyol,MID,1460
Asier Villalibre,Alavés,ATT,1460
Ferland Mendy,Real Madrid,DEF,1460
Pathé Ciss,Rayo Vallecano,MID,1459
Chiquinho,Mallorca,ATT,1459
Marc Cardona,Las Palmas,ATT,1459
Antoniu Roca,Espanyol,ATT,1458
Adrian,Real Betis,GK,1458
Juanpe,Girona,DEF,1455
Alejandro Francés,Girona,DEF,1455
Héctor Fort,Barcelona,DEF,1455
Facundo Garces,Alavés,DEF,1455
Orri Oskarsson,Real Sociedad,ATT,1455
Jorge Herrando,Osasuna,DEF,1455
Adam Aznou,Real Valladolid,DEF,1455
Max Aarons,Valencia CF,DEF,1455
Ander Herrera,Athletic Club,MID,1455
Adnan Januzaj,Las Palmas,ATT,1454
Enrique Barja,Osasuna,ATT,1454
Arthur,Girona,MID,1454
Sergi Canos,Valencia CF,ATT,1454
Oscar Valentin,Rayo Vallecano,MID,1454
Selim Amallah,Real Valladolid,ATT,1453
Hugo Guillamon,Valencia CF,MID,1452
Tamas Nikitscher,Real Valladolid,MID,1451
Marcos Alonso,Celta de Vigo,DEF,1451
