ParticipantName,TeamName,Position,ELO
Mason Greenwood,Marseille,ATT,1712
Vitinha,Paris Saint-Germain,MID,1708
Hervé Koffi,Angers,GK,1693
Robin Risser,Lens,GK,1653
Joao Neves,Paris Saint-Germain,MID,1641
Ousmane Dembélé,Paris Saint-Germain,ATT,1625
Jonathan Clauss,Nice,MID,1621
Fabián Ruiz,Paris Saint-Germain,MID,1616
Yann Gboho,Toulouse,ATT,1614
Pavel Sulc,Lyon,ATT,1610
Ludovic Blas,Rennes,MID,1606
Ruben Kluivert,Lyon,DEF,1603
Ousmane Camara,Angers,DEF,1602
Ilan Kebbal,Paris FC,ATT,1600
Esteban Lepaul,Rennes,ATT,1600
Pierre-Emile Højbjerg,Marseille,MID,1598
Mohammed Salisu,Monaco,DEF,1597
Quentin Merlin,Rennes,MID,1597
Lucas Chevalier,Paris Saint-Germain,GK,1594
Malang Sarr,Lens,DEF,1593
Montassar Talbi,Lorient,DEF,1592
Berke Özer,Lille,GK,1590
Lamine Camara,Monaco,MID,1590
Gauthier Hein,Metz,ATT,1588
Gautier Lloris,Le Havre,DEF,1588
Hamza Igamane,Lille,ATT,1588
Charlie Cresswell,Toulouse,DEF,1588
Dominik Greif,Lyon,GK,1587
Vanderson,Monaco,DEF,1586
Samson Baidoo,Lens,DEF,1585
Matthieu Udol,Lens,DEF,1584
Lucas Beraldo,Paris Saint-Germain,DEF,1583
Guillaume Restes,Toulouse,GK,1581
Désiré Doué,Paris Saint-Germain,ATT,1579
Warren Zaire-Emery,Paris Saint-Germain,MID,1579
Sofiane Diop,Nice,ATT,1578
Brendan Chardonnet,Brest,DEF,1578
Nabil Bentaleb,Lille,MID,1577
Jordan Lefort,Angers,DEF,1575
Sinaly Diomandé,Auxerre,DEF,1574
Emerson,Marseille,DEF,1574
Romain Del Castillo,Brest,ATT,1572
Terry Yegbe,Metz,DEF,1572
Guéla Doué,Strasbourg,DEF,1571
Wesley Said,Lens,ATT,1569
Khvicha Kvaratskhelia,Paris Saint-Germain,ATT,1568
Himad Abdelli,Angers,MID,1568
Geronimo Rulli,Marseille,GK,1566
Senny Mayulu,Paris Saint-Germain,MID,1565
Mamadou Mbow,Paris FC,DEF,1564
Mohamed-Ali Cho,Nice,ATT,1564
Ansu Fati,Monaco,ATT,1562
Pierre-Emerick Aubameyang,Marseille,ATT,1562
Odsonne Edouard,Lens,ATT,1562
Francisco Sierralta,Auxerre,DEF,1561
Andrew Omobamidele,Strasbourg,DEF,1559
Theo Le Bris,Lorient,MID,1559
