ParticipantName,TeamName,Position,ELO
Mason Greenwood,Marseille,ATT,1762
Gaëtan Perrin,Auxerre,MID,1760
Yehvann Diouf,Reims,GK,1757
Ousmane Dembélé,Paris Saint-Germain,ATT,1756
Lucas Chevalier,Lille,GK,1722
Brice Samba,Rennes,GK,1719
Luis Henrique,Marseille,MID,1715
Arnaud Kalimuendo-Muinga,Rennes,ATT,1709
Joao Neves,Paris Saint-Germain,MID,1701
Kang-In Lee,Paris Saint-Germain,MID,1697
Rayan Cherki,Lyon,ATT,1690
Djordje Petrovic,Strasbourg,GK,1686
Vitinha,Paris Saint-Germain,MID,1684
Lucas Perri,Lyon,GK,1677
Moses Simon,Nantes,ATT,1672
Fabián Ruiz,Paris Saint-Germain,MID,1668
Amine Gouiri,Marseille,ATT,1666
Yahia Fofana,Angers,GK,1662
Donovan Léon,Auxerre,GK,1662
Evann Guessand,Nice,ATT,1652
Dilane Bakwa,Strasbourg,MID,1649
Lucas Stassin,St Etienne,ATT,1643
Florian Tardieu,St Etienne,MID,1642
Abdoulaye Touré,Le Havre,MID,1640
Thilo Kehrer,Monaco,DEF,1635
Gaëtan Laborde,Nice,ATT,1634
Neil El Aynaoui,Lens,MID,1633
Bradley Barcola,Paris Saint-Germain,ATT,1624
Marcin Bulka,Nice,GK,1624
Georges Mikautadze,Lyon,ATT,1624
Gabriel Suazo,Toulouse,MID,1618
Denis Zakaria,Monaco,MID,1615
Mickael Nade,St Etienne,DEF,1613
Zuriko Davitashvili,St Etienne,ATT,1613
Pierre-Emile Højbjerg,Marseille,MID,1612
Andrey Santos,Strasbourg,MID,1612
Romain Del Castillo,Brest,ATT,1612
Jubal,Auxerre,DEF,1608
Jonathan David,Lille,ATT,1604
Jonathan Clauss,Nice,MID,1602
Mika Biereth,Monaco,ATT,1601
Charlie Cresswell,Toulouse,DEF,1599
Désiré Doué,Paris Saint-Germain,ATT,1597
Ainsley Maitland-Niles,Lyon,DEF,1595
Malang Sarr,Lens,DEF,1595
Ali Abdi,Nice,MID,1594
Eliesse Ben Seghir,Monaco,ATT,1594
Achraf Hakimi,Paris Saint-Germain,DEF,1587
Maghnes Akliouche,Monaco,ATT,1584
Diego Moreira,Strasbourg,MID,1583
Joseph Okumu,Reims,DEF,1582
Adrien Thomasson,Lens,MID,1581
Willian Pacho,Paris Saint-Germain,DEF,1579
Florent Hanin,Angers,DEF,1579
Jordan Lefort,Angers,DEF,1577
Dylan Batubinsika,St Etienne,DEF,1577
Gautier Lloris,Le Havre,DEF,1577
Wilfried Singo,Monaco,DEF,1577
Quentin Merlin,Marseille,MID,1572
Sinaly Diomandé,Auxerre,DEF,1571
Youssouf Ndayishimiye,Nice,DEF,1570
Mahdi Camara,Brest,MID,1570
Przemyslaw Frankowski,Lens,DEF,1570
Abakar Sylla,Strasbourg,DEF,1569
Emmanuel Biumla,Angers,DEF,1569
Caio Henrique,Monaco,DEF,1567
Osame Sahraoui,Lille,ATT,1566
Tom Louchet,Nice,MID,1565
Vincent Sierro,Toulouse,MID,1565
Gabriel Osho,Auxerre,DEF,1565
Ismael Kone,Rennes,MID,1564
Adrien Rabiot,Marseille,ATT,1563
Habib Diarra,Strasbourg,MID,1563
Issa Soumaré,Le Havre,ATT,1563
Valentin Rongier,Marseille,MID,1563
