ParticipantName,TeamName,Position,ELO
Bruno Fernandes,Manchester United,MID,1736
Erling Haaland,Manchester City,ATT,1707
Antoine Semenyo,Manchester City,ATT,1687
Jordan Pickford,Everton,GK,1655
Michael Keane,Everton,DEF,1634
Declan Rice,Arsenal,MID,1632
Gabriel,Arsenal,DEF,1631
Bruno Guimaraes,Newcastle United,MID,1628
Hugo Ekitike,Liverpool,ATT,1627
Wesley Fofana,Chelsea,DEF,1621
Rayan Cherki,Manchester City,ATT,1612
Maxime Estève,Burnley,DEF,1610
Robert Sánchez,Chelsea,GK,1606
Yasin Ayari,Brighton and Hove Albion,MID,1606
Jaka Bijol,Leeds United,DEF,1606
Lewis Miley,Newcastle United,MID,1605
Enzo Fernández,Chelsea,MID,1603
Robin Roefs,Sunderland,GK,1598
Igor Thiago,Brentford,ATT,1598
Martin Ødegaard,Arsenal,MID,1596
Joao Pedro,Chelsea,ATT,1594
Hjalmar Ekdal,Burnley,DEF,1593
Konstantinos Mavropanos,West Ham United,DEF,1593
Dean Henderson,Crystal Palace,GK,1592
Joe Rodon,Leeds United,DEF,1590
Matthijs de Ligt,Manchester United,DEF,1589
Fabian Schär,Newcastle United,DEF,1588
Nathan Collins,Brentford,DEF,1587
James Hill,Bournemouth,DEF,1587
Chris Richards,Crystal Palace,DEF,1586
Malick Thiaw,Newcastle United,DEF,1586
Daniel Ballard,Sunderland,DEF,1585
Mikel Merino,Arsenal,MID,1584
David Raya,Arsenal,GK,1584
Matheus Cunha,Manchester United,ATT,1584
Marcos Senesi,Bournemouth,DEF,1584
Ryan Gravenberch,Liverpool,MID,1582
Marc Guehi,Manchester City,DEF,1581
Eli Junior Kroupi,Bournemouth,ATT,1580
Morgan Rogers,Aston Villa,ATT,1580
James Justin,Leeds United,DEF,1579
Sven Botman,Newcastle United,DEF,1578
Emiliano Martinez,Aston Villa,GK,1577
Sepp van den Berg,Brentford,DEF,1576
Kevin Danso,Tottenham Hotspur,DEF,1575
Maxence Lacroix,Crystal Palace,DEF,1575
Virgil van Dijk,Liverpool,DEF,1574
Nick Woltemade,Newcastle United,ATT,1574
Youri Tielemans,Aston Villa,MID,1573
Harry Wilson,Fulham,ATT,1573
Lisandro Martinez,Manchester United,DEF,1571
Eberechi Eze,Arsenal,ATT,1571
Guglielmo Vicario,Tottenham Hotspur,GK,1569
Martin Zubimendi,Arsenal,MID,1569
Pedro Neto,Chelsea,ATT,1569
Callum Wilson,West Ham United,ATT,1569
Murillo,Nottingham Forest,DEF,1568
Ruben Dias,Manchester City,DEF,1568
Nordi Mukiele,Sunderland,DEF,1568
Quilindschy Hartman,Burnley,DEF,1568
Ryan Sessegnon,Fulham,DEF,1567
Morgan Gibbs-White,Nottingham Forest,ATT,1567
Josko Gvardiol,Manchester City,DEF,1566
Josh Cullen,Burnley,MID,1565
Omar Alderete,Sunderland,DEF,1565
Cody Gakpo,Liverpool,ATT,1564
Amad,Manchester United,MID,1563
Trevoh Chalobah,Chelsea,DEF,1563
Iliman Ndiaye,Everton,ATT,1562
James Tarkowski,Everton,DEF,1562
Ladislav Krejci,Wolverhampton Wanderers,DEF,1562
Samuel Chukwueze,Fulham,ATT,1562
Callum Hudson-Odoi,Nottingham Forest,ATT,1561
Gianluigi Donnarumma,Manchester City,GK,1560
Jérémy Doku,Manchester City,ATT,1560
Phil Foden,Manchester City,ATT,1559
Kristoffer Vassbakk Ajer,Brentford,DEF,1559
Curtis Jones,Liverpool,MID,1558
Pascal Struijk,Leeds United,DEF,1557
Nick Pope,Newcastle United,GK,1557
Aaron Wan-Bissaka,West Ham United,DEF,1557
Lewis Cook,Bournemouth,MID,1557
Ao Tanaka,Leeds United,MID,1556
