ParticipantName,TeamName,Position,ELO
Mohamed Salah,Liverpool,ATT,1925
Bryan Mbeumo,Brentford,ATT,1760
Alexander Isak,Newcastle United,ATT,1759
Bruno Fernandes,Manchester United,MID,1749
Matheus Cunha,Wolverhampton Wanderers,ATT,1721
Jarrod Bowen,West Ham United,ATT,1700
James Maddison,Tottenham Hotspur,MID,1693
Chris Wood,Nottingham Forest,ATT,1686
Erling Haaland,Manchester City,ATT,1668
Matz Sels,Nottingham Forest,GK,1665
Amad,Manchester United,MID,1661
Alex Iwobi,Fulham,ATT,1658
Aaron Wan-Bissaka,West Ham United,DEF,1653
Jérémy Doku,Manchester City,ATT,1646
Ederson,Manchester City,GK,1645
Ilkay Gündogan,Manchester City,MID,1642
Jordan Pickford,Everton,GK,1642
Jacob Murphy,Newcastle United,ATT,1640
Martin Ødegaard,Arsenal,MID,1640
David Raya,Arsenal,GK,1639
Alisson Becker,Liverpool,GK,1639
Eberechi Eze,Crystal Palace,ATT,1635
Anthony Elanga,Nottingham Forest,ATT,1634
Nikola Milenkovic,Nottingham Forest,DEF,1632
Youri Tielemans,Aston Villa,MID,1632
Luis Diaz,Liverpool,ATT,1630
Harvey Barnes,Newcastle United,ATT,1629
Heung-Min Son,Tottenham Hotspur,ATT,1628
Ethan Pinnock,Brentford,DEF,1626
Dean Henderson,Crystal Palace,GK,1620
Josko Gvardiol,Manchester City,DEF,1616
Andre Onana,Manchester United,GK,1614
Declan Rice,Arsenal,MID,1613
Enzo Fernández,Chelsea,MID,1612
Yoane Wissa,Brentford,ATT,1610
Mateo Kovacic,Manchester City,MID,1610
Mikel Merino,Arsenal,MID,1608
Nathan Collins,Brentford,DEF,1601
Dwight McNeil,Everton,ATT,1601
Alexis Mac Allister,Liverpool,MID,1599
Cole Palmer,Chelsea,ATT,1599
Bruno Guimaraes,Newcastle United,MID,1597
Curtis Jones,Liverpool,MID,1595
Ethan Nwaneri,Arsenal,ATT,1594
Virgil van Dijk,Liverpool,DEF,1594
Bukayo Saka,Arsenal,ATT,1593
Thomas Partey,Arsenal,MID,1592
Rayan Ait Nouri,Wolverhampton Wanderers,MID,1588
Mark Flekken,Brentford,GK,1586
Marcus Rashford,Aston Villa,ATT,1586
Trent Alexander-Arnold,Liverpool,DEF,1586
Gabriel Martinelli,Arsenal,ATT,1583
Jan Bednarek,Southampton,DEF,1582
Joe Aribo,Southampton,MID,1582
Rodrigo Muniz,Fulham,ATT,1580
Milos Kerkez,Bournemouth,DEF,1579
Kaoru Mitoma,Brighton and Hove Albion,ATT,1579
Pedro Porro,Tottenham Hotspur,DEF,1578
Jarrad Branthwaite,Everton,DEF,1578
Dean Huijsen,Bournemouth,DEF,1578
Matthijs de Ligt,Manchester United,DEF,1577
Iliman Ndiaye,Everton,ATT,1577
Sandro Tonali,Newcastle United,MID,1576
Timothy Castagne,Fulham,DEF,1575
Maxence Lacroix,Crystal Palace,DEF,1575
Murillo,Nottingham Forest,DEF,1574
Memeh Caleb Okoli,Leicester City,DEF,1573
Jørgen Strand Larsen,Wolverhampton Wanderers,ATT,1572
Joao Pedro,Brighton and Hove Albion,ATT,1572
Ezri Konsa,Aston Villa,DEF,1572
Cody Gakpo,Liverpool,ATT,1571
James Tarkowski,Everton,DEF,1570
Kevin Schade,Brentford,ATT,1570
Tommy Doyle,Wolverhampton Wanderers,MID,1570
Antonee Robinson,Fulham,DEF,1569
Jack Hinshelwood,Brighton and Hove Albion,MID,1569
Justin Kluivert,Bournemouth,ATT,1568
Ollie Watkins,Aston Villa,ATT,1568
Phil Foden,Manchester City,ATT,1567
Wout Faes,Leicester City,DEF,1566
Robert Sánchez,Chelsea,GK,1566
Kepa Arrizabalaga,Bournemouth,GK,1566
Leandro Trossard,Arsenal,ATT,1564
Kieran Trippier,Newcastle United,DEF,1563
Victor Kristiansen,Leicester City,DEF,1563
Chris Richards,Crystal Palace,DEF,1563
Gabriel,Arsenal,DEF,1561
Trevoh Chalobah,Chelsea,DEF,1561
Reece James,Chelsea,DEF,1560
Wataru Endo,Liverpool,MID,1560
Mikkel Damsgaard,Brentford,ATT,1560
Callum Hudson-Odoi,Nottingham Forest,ATT,1558
Dara O'Shea,Ipswich Town,DEF,1558
Omar Marmoush,Manchester City,ATT,1558
Adam Wharton,Crystal Palace,MID,1558
Dominic Solanke,Tottenham Hotspur,ATT,1558
Nick Pope,Newcastle United,GK,1557
Vitaliy Mykolenko,Everton,DEF,1557
Tomas Soucek,West Ham United,MID,1557
Tyrick Mitchell,Crystal Palace,MID,1555
Rodrigo Gomes,Wolverhampton Wanderers,MID,1553
Brajan Gruda,Brighton and Hove Albion,ATT,1553
Vitaly Janelt,Brentford,MID,1553
Tosin Adarabioyo,Chelsea,DEF,1552
Harry Wilson,Fulham,ATT,1552
Morato,Nottingham Forest,DEF,1552
Kevin De Bruyne,Manchester City,ATT,1550
Jacob Greaves,Ipswich Town,DEF,1550
Conor Coady,Leicester City,DEF,1550
Ian Maatsen,Aston Villa,DEF,1550
Dejan Kulusevski,Tottenham Hotspur,ATT,1549
Ryan Sessegnon,Fulham,DEF,1548
Konstantinos Mavropanos,West Ham United,DEF,1548
Max Kilman,West Ham United,DEF,1548
Issa Diop,Fulham,DEF,1548
Valentino Livramento,Newcastle United,DEF,1548
Emile Smith Rowe,Fulham,ATT,1546
James Ward-Prowse,West Ham United,MID,1546
Tom Cairney,Fulham,MID,1545
Christian Nørgaard,Brentford,MID,1545
Jean-Philippe Mateta,Crystal Palace,ATT,1544
Sepp van den Berg,Brentford,DEF,1543
Djed Spence,Tottenham Hotspur,DEF,1542
Lewis Hall,Newcastle United,DEF,1542
Jean-Clair Todibo,West Ham United,DEF,1541
Brennan Johnson,Tottenham Hotspur,ATT,1540
Julio Enciso,Ipswich Town,ATT,1540
Lucas Bergvall,Tottenham Hotspur,MID,1540
Danny Welbeck,Brighton and Hove Albion,ATT,1539
Santiago Bueno,Wolverhampton Wanderers,DEF,1539
Jadon Sancho,Chelsea,ATT,1539
Lucas Digne,Aston Villa,DEF,1539
James Justin,Leicester City,DEF,1539
Archie Gray,Tottenham Hotspur,MID,1538
Jens-Lys Cajuste,Ipswich Town,MID,1538
Mathias Jensen,Brentford,MID,1538
Matheus Nunes,Manchester City,DEF,1537
Ilya Zabarnyi,Bournemouth,DEF,1537
Amadou Onana,Aston Villa,MID,1536
William Saliba,Arsenal,DEF,1536
Pape Sarr,Tottenham Hotspur,MID,1535
Tariq Lamptey,Brighton and Hove Albion,DEF,1533
Raul Jiménez,Fulham,ATT,1531
Orel Mangala,Everton,MID,1531
Ibrahima Konaté,Liverpool,DEF,1529
Boubacar Kamara,Aston Villa,MID,1529
Matt Doherty,Wolverhampton Wanderers,DEF,1528
Anthony Gordon,Newcastle United,ATT,1528
Trevoh Chalobah,Crystal Palace,DEF,1528
Ola Aina,Nottingham Forest,DEF,1527
Marc Guehi,Crystal Palace,DEF,1527
Guglielmo Vicario,Tottenham Hotspur,GK,1526
Yasin Ayari,Brighton and Hove Albion,MID,1525
Ryan Manning,Southampton,MID,1525
Georginio Rutter,Brighton and Hove Albion,ATT,1524
Mads Roerslev,Brentford,DEF,1523
Pau Torres,Aston Villa,DEF,1523
Noussair Mazraoui,Manchester United,MID,1522
Jake O'Brien,Everton,DEF,1521
Martin Dubravka,Newcastle United,GK,1521
Kenny Tete,Fulham,DEF,1518
Neco Williams,Nottingham Forest,DEF,1518
Harry Maguire,Manchester United,DEF,1518
Ryan Gravenberch,Liverpool,MID,1517
Riccardo Calafiori,Arsenal,DEF,1517
Carlos Baleba,Brighton and Hove Albion,MID,1516
Stephy Mavididi,Leicester City,ATT,1515
Simon Adingra,Brighton and Hove Albion,ATT,1515
Daniel Munoz,Crystal Palace,MID,1514
Jean-Ricner Bellegarde,Wolverhampton Wanderers,ATT,1514
Emiliano Martinez,Aston Villa,GK,1514
Diogo Dalot,Manchester United,MID,1514
Savinho,Manchester City,ATT,1514
Nico O'Reilly,Manchester City,DEF,1513
Mats Wieffer,Brighton and Hove Albion,DEF,1513
Mohammed Kudus,West Ham United,ATT,1513
Niclas Füllkrug,West Ham United,ATT,1512
Hee-Chan Hwang,Wolverhampton Wanderers,ATT,1512
Yukinari Sugawara,Southampton,DEF,1509
Joachim Andersen,Fulham,DEF,1509
Dango Ouattara,Bournemouth,ATT,1509
Harry Winks,Leicester City,MID,1509
Jack Stephens,Southampton,DEF,1508
Lisandro Martinez,Manchester United,DEF,1508
Emerson,West Ham United,DEF,1508
Axel Tuanzebe,Ipswich Town,DEF,1507
Ross Barkley,Aston Villa,ATT,1506
Caoimhin Kelleher,Liverpool,GK,1506
Aaron Ramsdale,Southampton,GK,1505
Destiny Udogie,Tottenham Hotspur,DEF,1505
Ramon Sosa,Nottingham Forest,ATT,1504
Cameron Burgess,Ipswich Town,DEF,1503
Ruben Dias,Manchester City,DEF,1503
Matthew O'Riley,Brighton and Hove Albion,ATT,1502
Romain Esse,Crystal Palace,ATT,1502
Fabian Schär,Newcastle United,DEF,1502
Harvey Elliott,Liverpool,MID,1502
Adama Traoré,Fulham,ATT,1501
Sean Longstaff,Newcastle United,MID,1500
Fabio Carvalho,Brentford,ATT,1500
Pervis Estupinán,Brighton and Hove Albion,DEF,1500
Rico Lewis,Manchester City,DEF,1500
Evanilson,Bournemouth,ATT,1499
Leny Yoro,Manchester United,DEF,1499
Alex Scott,Bournemouth,MID,1499
John Stones,Manchester City,DEF,1498
Kieran Tierney,Arsenal,DEF,1498
Casemiro,Manchester United,MID,1498
Malo Gusto,Chelsea,DEF,1498
Diego Gomez,Brighton and Hove Albion,MID,1498
Toti Gomes,Wolverhampton Wanderers,DEF,1496
Danny Ings,West Ham United,ATT,1496
Elliot Anderson,Nottingham Forest,MID,1496
Manuel Akanji,Manchester City,DEF,1496
Evan Ferguson,West Ham United,ATT,1495
Morgan Gibbs-White,Nottingham Forest,ATT,1495
Jack Taylor,Ipswich Town,MID,1494
Conor Bradley,Liverpool,DEF,1494
Lewis Dunk,Brighton and Hove Albion,DEF,1494
Lewis Miley,Newcastle United,MID,1493
Matheus Franca,Crystal Palace,ATT,1492
William Osula,Newcastle United,ATT,1492
Goncalo Guedes,Wolverhampton Wanderers,ATT,1491
Timo Werner,Tottenham Hotspur,ATT,1491
Donyell Malen,Aston Villa,ATT,1490
Abdul Fatawu,Leicester City,ATT,1489
Noni Madueke,Chelsea,ATT,1489
Beto,Everton,ATT,1488
Marc Cucurella,Chelsea,DEF,1488
Mikey Moore,Tottenham Hotspur,ATT,1487
Dane Scarlett,Tottenham Hotspur,ATT,1487
James Bree,Southampton,ATT,1487
Kiernan Dewsbury-Hall,Chelsea,ATT,1487
Bilal El Khannouss,Leicester City,ATT,1487
Jhon Duran,Aston Villa,ATT,1486
James Garner,Everton,MID,1486
Ryan Christie,Bournemouth,MID,1486
Luis Sinisterra,Bournemouth,ATT,1486
Jack Clarke,Ipswich Town,ATT,1485
Rodrigo Bentancur,Tottenham Hotspur,MID,1484
Joel Veltman,Brighton and Hove Albion,DEF,1484
Justin Devenny,Crystal Palace,ATT,1484
Kosta Nedeljkovic,Aston Villa,DEF,1483
Jorge Cuenca,Fulham,DEF,1483
Kevin Danso,Tottenham Hotspur,DEF,1483
Julio Soler,Bournemouth,DEF,1483
Joachim Kayi Sanda,Southampton,DEF,1483
Mason Holgate,Everton,DEF,1483
Ferdi Kadioglu,Brighton and Hove Albion,DEF,1483
Pedro Lima,Wolverhampton Wanderers,DEF,1483
Roman Dixon,Everton,DEF,1483
Eiran Cashin,Brighton and Hove Albion,DEF,1483
Tyler Fredricson,Manchester United,DEF,1483
Yankuba Minteh,Brighton and Hove Albion,ATT,1483
Vitor Reis,Manchester City,DEF,1483
Ronnie Edwards,Southampton,DEF,1483
Rico Henry,Brentford,DEF,1483
George Edmundson,Ipswich Town,DEF,1483
Takehiro Tomiyasu,Arsenal,DEF,1483
Olabade Aluko,Leicester City,DEF,1483
Alfie Dorrington,Tottenham Hotspur,DEF,1483
Andres Garcia,Aston Villa,DEF,1483
Ben Chilwell,Crystal Palace,DEF,1483
Hamza Choudhury,Leicester City,DEF,1483
Alfie Pond,Wolverhampton Wanderers,DEF,1483
Chadi Riad,Crystal Palace,DEF,1483
Axel Disasi,Aston Villa,DEF,1483
James McAtee,Manchester City,ATT,1483
Benoit Badiashile,Chelsea,DEF,1483
Nasser Djiga,Wolverhampton Wanderers,DEF,1483
Nathan Aké,Manchester City,DEF,1483
Jakub Kiwior,Arsenal,DEF,1483
Matt Targett,Newcastle United,DEF,1483
Max Aarons,Bournemouth,DEF,1483
Jan Paul van Hecke,Brighton and Hove Albion,DEF,1483
Armel Bella-Kotchap,Southampton,DEF,1483
Jeffrey Schlupp,Crystal Palace,DEF,1483
Jayden Meghoma,Brentford,DEF,1483
Ji-Soo Kim,Brentford,DEF,1483
Antoine Semenyo,Bournemouth,ATT,1482
Kyle Walker-Peters,Southampton,DEF,1481
Sammie Szmodics,Ipswich Town,ATT,1481
Dominik Szoboszlai,Liverpool,ATT,1480
Leif Davis,Ipswich Town,DEF,1480
Tyler Adams,Bournemouth,MID,1480
John McGinn,Aston Villa,MID,1480
Morgan Rogers,Aston Villa,ATT,1479
Mathys Tel,Tottenham Hotspur,ATT,1479
Reiss Nelson,Fulham,ATT,1479
Tyrique George,Chelsea,ATT,1479
Jack Grealish,Manchester City,ATT,1479
Joelinton,Newcastle United,MID,1479
Kamaldeen Sulemana,Southampton,ATT,1479
Bobby Reid,Leicester City,ATT,1478
Yves Bissouma,Tottenham Hotspur,MID,1478
Oleksandr Zinchenko,Arsenal,DEF,1478
Ismaila Sarr,Crystal Palace,ATT,1478
Alphonse Areola,West Ham United,GK,1478
James Hill,Bournemouth,DEF,1478
Jakub Moder,Brighton and Hove Albion,MID,1478
Nathan Patterson,Everton,DEF,1478
Conor Townsend,Ipswich Town,DEF,1478
Mads Hermansen,Leicester City,GK,1478
Christopher Nkunku,Chelsea,ATT,1478
Taylor Harwood-Bellis,Southampton,DEF,1478
Toby Collyer,Manchester United,MID,1478
Shumaira Mheuka,Chelsea,ATT,1477
Joshua King,Fulham,ATT,1477
Claudio Echeverri,Manchester City,ATT,1477
Chiquinho,Wolverhampton Wanderers,ATT,1477
Will Alves,Leicester City,ATT,1477
Harry Howell,Brighton and Hove Albion,ATT,1477
Eric da Silva Moreira,Nottingham Forest,ATT,1477
Ryan Trevitt,Brentford,ATT,1477
Divin Mubama,Manchester City,ATT,1477
Nathan Butler-Oyedeji,Arsenal,ATT,1477
Igor Thiago,Brentford,ATT,1477
Oscar Bobb,Manchester City,ATT,1477
Gustavo Nunes,Brentford,ATT,1477
Odsonne Edouard,Crystal Palace,ATT,1477
Odsonne Edouard,Leicester City,ATT,1477
Jay Robinson,Southampton,ATT,1477
Leon Bailey,Aston Villa,ATT,1477
Jake Evans,Leicester City,ATT,1477
Ben Winterburn,Bournemouth,ATT,1477
Carlos Vinicius,Fulham,ATT,1477
Andrew Robertson,Liverpool,DEF,1477
Miguel Almiron,Newcastle United,ATT,1477
Daniel Podence,Wolverhampton Wanderers,ATT,1477
Jaden Philogene-Bidace,Ipswich Town,ATT,1477
Mykhaylo Mudryk,Chelsea,ATT,1477
Albert Grønbæk,Southampton,ATT,1477
Willian,Fulham,ATT,1477
William Smallbone,Southampton,ATT,1477
Luis Guilherme,West Ham United,ATT,1477
Marcus Harness,Ipswich Town,ATT,1477
Marc Guiu,Chelsea,ATT,1477
Jeremy Sarmiento,Brighton and Hove Albion,ATT,1477
Asher Agbinone,Crystal Palace,ATT,1477
Martial Godo,Fulham,ATT,1477
Marshall Munetsi,Wolverhampton Wanderers,ATT,1477
Jeremy Monga,Leicester City,ATT,1477
Jayden Danns,Liverpool,ATT,1477
Mateus Mane,Wolverhampton Wanderers,ATT,1477
Edmond-Paris Maghoma,Brentford,MID,1476
Scott McTominay,Manchester United,MID,1476
Patson Daka,Leicester City,ATT,1476
Yunus Emre Konak,Brentford,MID,1476
Billy Gilmour,Brighton and Hove Albion,MID,1476
Nathan Broadhead,Ipswich Town,ATT,1476
Ashley Young,Everton,DEF,1476
Harry Amass,Manchester United,MID,1476
Rodri,Manchester City,MID,1476
Chiedozie Ogbene,Ipswich Town,MID,1475
Wilfred Ndidi,Leicester City,MID,1475
Frank Onyeka,Brentford,MID,1475
Caleb Kporha,Crystal Palace,MID,1475
Danilo,Nottingham Forest,MID,1475
James Ward-Prowse,Nottingham Forest,MID,1475
Lewis Orford,West Ham United,MID,1475
Mathis Amougou,Chelsea,MID,1475
Massimo Luongo,Ipswich Town,MID,1475
Zain Silcott-Duberry,Bournemouth,MID,1475
Jamie Vardy,Leicester City,ATT,1474
Kobbie Mainoo,Manchester United,MID,1474
Raheem Sterling,Arsenal,ATT,1474
Vladimir Coufal,West Ham United,DEF,1473
Crysencio Summerville,West Ham United,ATT,1473
Keane Lewis-Potter,Brentford,DEF,1473
Ben White,Arsenal,DEF,1473
Wes Burns,Ipswich Town,ATT,1472
Omari Hutchinson,Ipswich Town,ATT,1472
Pedro Neto,Chelsea,ATT,1471
Jack Harrison,Everton,ATT,1470
Kristoffer Vassbakk Ajer,Brentford,DEF,1470
Marco Asensio,Aston Villa,ATT,1470
Stefan Ortega,Manchester City,GK,1469
Federico Chiesa,Liverpool,ATT,1469
Julio Enciso,Brighton and Hove Albion,ATT,1469
Ross Stewart,Southampton,ATT,1469
Jacob Ramsey,Aston Villa,ATT,1469
Carlos Alcaraz,Everton,ATT,1469
Richarlison,Tottenham Hotspur,ATT,1469
Mario Lemina,Wolverhampton Wanderers,MID,1469
Antony,Manchester United,ATT,1469
Joseph Willock,Newcastle United,MID,1468
Ben Godfrey,Ipswich Town,DEF,1468
Joseph Gomez,Liverpool,DEF,1468
Josh Acheampong,Chelsea,DEF,1468
Jahmai Simpson-Pusey,Manchester City,DEF,1468
Levi Colwill,Chelsea,DEF,1468
Charlie Taylor,Southampton,DEF,1468
Woyo Coulibaly,Leicester City,DEF,1468
Adam Webster,Brighton and Hove Albion,DEF,1468
Wilson Odobert,Tottenham Hotspur,ATT,1468
Luke Shaw,Manchester United,DEF,1468
Diego Carlos,Aston Villa,DEF,1468
Willy Boly,Nottingham Forest,DEF,1468
Victor Nilsson Lindelöf,Manchester United,DEF,1468
Sven Botman,Newcastle United,DEF,1468
Tyrone Mings,Aston Villa,DEF,1468
Ayden Heaven,Manchester United,DEF,1468
Abdukodir Khusanov,Manchester City,DEF,1468
Ricardo Pereira,Leicester City,DEF,1468
Radu Dragusin,Tottenham Hotspur,DEF,1468
Tyrell Malacia,Manchester United,DEF,1468
Oliver Scarles,West Ham United,DEF,1468
Joel Ward,Crystal Palace,DEF,1468
Jonny Evans,Manchester United,DEF,1468
Harry Toffolo,Nottingham Forest,DEF,1468
Philip Billing,Bournemouth,MID,1467
Taiwo Awoniyi,Nottingham Forest,ATT,1467
Matty Cash,Aston Villa,DEF,1466
Diogo Jota,Liverpool,ATT,1466
Calvin Bassey,Fulham,DEF,1466
Rasmus Højlund,Manchester United,ATT,1465
Conor Chaplin,Ipswich Town,ATT,1464
Pablo Sarabia,Wolverhampton Wanderers,ATT,1463
Lloyd Kelly,Newcastle United,DEF,1463
Enes Ünal,Bournemouth,ATT,1463
Konstantinos Tsimikas,Liverpool,DEF,1463
Michael Kayode,Brentford,DEF,1463
Álex Moreno,Nottingham Forest,DEF,1463
Evan Ferguson,Brighton and Hove Albion,ATT,1463
Youssef Chermiti,Everton,ATT,1462
Cheick Oumar Doucouré,Crystal Palace,MID,1462
Samuel Amo-Ameyaw,Southampton,ATT,1462
Kalvin Phillips,Ipswich Town,MID,1462
Seamus Coleman,Everton,MID,1462
Samuel Edozie,Southampton,ATT,1462
Chido Obi,Manchester United,ATT,1462
Daichi Kamada,Crystal Palace,MID,1462
Maxwel Cornet,Southampton,ATT,1462
Armando Broja,Everton,ATT,1462
James Milner,Brighton and Hove Albion,MID,1462
Daniel Bentley,Wolverhampton Wanderers,GK,1461
Altay Bayindir,Manchester United,GK,1461
Fraser Forster,Tottenham Hotspur,GK,1461
Robin Olsen,Aston Villa,GK,1461
Nathaniel Clyne,Crystal Palace,MID,1461
Daniel Jebbison,Bournemouth,ATT,1461
Harrison Armstrong,Everton,MID,1461
Jurrien Timber,Arsenal,DEF,1461
Mark Travers,Bournemouth,GK,1461
Welington,Southampton,MID,1461
Jakub Stolarczyk,Leicester City,GK,1461
Jason Steele,Brighton and Hove Albion,GK,1461
Antonin Kinsky,Tottenham Hotspur,GK,1461
Christian Walton,Ipswich Town,GK,1461
José Sá,Wolverhampton Wanderers,GK,1460
Joshua Zirkzee,Manchester United,ATT,1459
George Hirst,Ipswich Town,ATT,1459
Bernardo Silva,Manchester City,ATT,1457
Guido Rodriguez,West Ham United,MID,1457
Yehor Yarmoliuk,Brentford,MID,1456
Ryan Fraser,Southampton,MID,1456
David Brooks,Bournemouth,ATT,1455
Alejandro Garnacho,Manchester United,ATT,1455
Emiliano Buendia,Aston Villa,ATT,1454
Callum Wilson,Newcastle United,ATT,1454
Filip Jörgensen,Chelsea,GK,1454
Michael Keane,Everton,DEF,1453
Nathan Wood,Southampton,DEF,1453
Emil Krafth,Newcastle United,DEF,1453
Emmanuel Agbadou,Wolverhampton Wanderers,DEF,1453
Craig Dawson,Wolverhampton Wanderers,DEF,1453
Cristian Romero,Tottenham Hotspur,DEF,1453
Renato Veiga,Chelsea,DEF,1453
Yerson Mosquera,Wolverhampton Wanderers,DEF,1453
Jarell Quansah,Liverpool,DEF,1453
Ben Mee,Brentford,DEF,1453
Luke Woolfenden,Ipswich Town,DEF,1453
Axel Disasi,Chelsea,DEF,1453
Sergio Reguilon,Tottenham Hotspur,DEF,1453
Julian Araujo,Bournemouth,DEF,1453
Andre,Wolverhampton Wanderers,MID,1453
Kai Havertz,Arsenal,ATT,1452
Paul Onuachu,Southampton,ATT,1452
Sander Berge,Fulham,MID,1452
Idrissa Gana Gueye,Everton,MID,1452
Lewis Cook,Bournemouth,DEF,1449
Nico González,Manchester City,MID,1449
Christian Eriksen,Manchester United,ATT,1449
Facundo Buonanotte,Leicester City,ATT,1448
Harry Clarke,Ipswich Town,DEF,1448
Myles Lewis-Skelly,Arsenal,DEF,1448
Daniel Burn,Newcastle United,DEF,1447
Michail Antonio,West Ham United,ATT,1447
Solly March,Brighton and Hove Albion,ATT,1447
Carlos Forbs,Wolverhampton Wanderers,ATT,1447
Neto,Bournemouth,GK,1446
Vitezslav Jaros,Liverpool,GK,1446
Brandon Austin,Tottenham Hotspur,GK,1446
Nélson Semedo,Wolverhampton Wanderers,MID,1446
Alex McCarthy,Southampton,GK,1446
Arijanet Muric,Ipswich Town,GK,1446
Andy Irving,West Ham United,MID,1446
Lamare Bogarde,Aston Villa,MID,1446
Danny Ward,Leicester City,GK,1446
Harrison Reed,Fulham,MID,1446
Hákon Rafn Valdimarsson,Brentford,GK,1446
Ben Brereton Diaz,Southampton,ATT,1446
Joe Lumley,Southampton,GK,1446
Sam Johnstone,Wolverhampton Wanderers,GK,1446
Marcus Tavernier,Bournemouth,ATT,1445
Lesley Ugochukwu,Southampton,MID,1445
Moisés Caicedo,Chelsea,MID,1444
Abdoulaye Doucouré,Everton,ATT,1444
Jota Silva,Nottingham Forest,ATT,1444
