ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Aaron Anselmino,Borussia Dortmund,DEF,,,,,,,,,,0.1,,0.1,,0.2,,,,,,,,,,,,,,1.0,
Aaron Zehnter,VfL Wolfsburg,DEF,2.5,29.6,,1.0,1.0,0.4,15.0,,3.0,1.5,0.11,0.5,0.04,0.4,0.1,,0.15,,1.2,,,0.1,,,,0.2,0.3,2.0,
Abdoulie Ceesay,FC St. Pauli,ATT,,14.8,,,2.0,,1.0,,0.5,0.1,0.05,0.5,0.23,0.4,4.6,,,,,,1.0,0.5,,,,0.5,0.9,,2.0
Aboubaka Soumahoro,Hamburger SV,DEF,,,,,,,1.0,,,0.2,,,,,,,,,,1.0,,,,,,,,,1.0
Adam Daghim,VfL Wolfsburg,ATT,0.3,18.1,1.0,1.0,2.0,0.1,5.0,,1.7,1.3,0.17,1.2,0.16,1.2,1.6,,0.26,,0.9,,,0.1,,,,0.7,0.4,2.0,
Adam Dzwigala,FC St. Pauli,DEF,2.1,38.0,1.0,,,0.3,4.0,,6.1,0.2,0.02,0.1,0.01,0.4,1.3,,0.11,,1.1,,,,,,,0.1,0.1,1.0,5.0
Adam Hlozek,TSG 1899 Hoffenheim,ATT,,,,,1.0,,,,,0.0,,0.1,,0.4,,,,,,,,,,,,,,,
Adam Koelle,1. FC Heidenheim 1846,Code_1,,,,,,,1.0,,,0.1,,0.4,,0.7,,,,,,,,,,,,,,1.0,1.0
Adrian Beck,1. FC Heidenheim 1846,ATT,1.5,31.1,,,1.0,0.2,12.0,,0.7,0.8,0.1,0.8,0.1,1.5,1.2,,0.12,,0.4,,,0.5,,,,0.5,1.9,1.0,
Aiman Dardari,FC Augsburg,MID,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,1.0
Albert Sambi Lokonga,Hamburger SV,MID,1.3,32.8,,,,0.8,15.0,,1.1,1.0,0.09,1.2,0.11,2.7,1.0,,0.36,,0.9,,1.0,0.5,,,,0.6,0.4,4.0,2.0
Albian Hajdari,TSG 1899 Hoffenheim,DEF,3.9,46.9,,2.0,1.0,0.8,3.0,,7.0,0.4,0.03,1.4,0.09,1.4,1.7,,0.07,,1.4,1.0,,0.1,,,,0.2,0.1,1.0,7.0
Aleix Garcia,Bayer 04 Leverkusen,MID,5.5,98.9,4.0,8.0,1.0,0.2,28.0,,1.1,3.6,0.21,1.3,0.08,0.7,0.2,,0.06,,0.8,,,0.2,,,,0.2,0.1,1.0,3.0
Alejandro Grimaldo,Bayer 04 Leverkusen,MID,2.0,58.6,5.0,8.0,3.0,0.1,31.0,,1.9,3.4,0.24,4.0,0.28,4.5,0.4,,0.35,,0.7,,,0.4,,,,0.8,1.1,5.0,4.0
Alejo Sarco,Borussia Mönchengladbach,ATT,,,,1.0,,,2.0,,,0.0,,0.2,,,,,,,,,,,,,,,,,
Aleksandar Pavlovic,Bayern München,MID,4.4,99.5,1.0,2.0,,0.5,15.0,,1.1,1.8,0.16,1.2,0.11,1.4,1.1,,0.18,,0.9,,,0.1,,,,0.4,0.3,2.0,2.0
Alessio Castro-Montes,1. FC Köln,MID,,,3.0,3.0,,,16.0,,,1.6,,0.2,,,,,,,,1.0,,,,,,,,,2.0
Alex Kral,1. FC Union Berlin,MID,1.6,20.7,,,,0.4,2.0,,2.3,0.1,0.05,0.1,0.04,0.0,1.6,,,,0.8,,,,,,,0.4,1.2,,1.0
Alexander Nübel,VfB Stuttgart,GK,,26.3,1.0,1.0,,,3.0,8.0,1.1,0.1,0.0,,,,,1.3,,3.5,0.1,,,,,69.4,3.0,,,,
Alexander Prass,TSG 1899 Hoffenheim,MID,1.2,26.7,1.0,2.0,1.0,0.4,8.0,,1.3,1.4,0.18,0.6,0.07,2.1,2.1,,0.13,,0.4,,,0.6,,,,0.6,0.4,1.0,1.0
Alexander Røssing,Hamburger SV,ATT,0.6,15.5,1.0,2.0,,0.3,5.0,,0.8,0.4,0.12,0.1,0.02,0.4,3.7,,,,,,,0.3,1.0,,,0.6,1.7,,1.0
Alexis Claude,FC Augsburg,ATT,0.2,27.3,2.0,2.0,3.0,0.1,16.0,,0.5,1.8,0.14,2.7,0.21,2.6,1.2,,0.15,,0.3,,,0.5,,,,1.2,1.6,2.0,2.0
Aljoscha Kemlein,1. FC Union Berlin,MID,2.8,33.6,,1.0,1.0,0.2,8.0,,1.0,1.0,0.08,0.7,0.06,0.5,1.0,,,,1.0,,,0.2,,,,0.1,1.0,,2.0
Alphonso Davies,Bayern München,DEF,,,,,,,2.0,,,0.4,,,,,,,,,,,,,,,,,,,1.0
Ameen Al Dakhil,VfB Stuttgart,DEF,,,,,,,2.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,1.0
