ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Aaron Escandell,Real Oviedo,GK,,23.0,,,,,1.0,6.0,1.4,0.1,0.0,,,,0.0,1.5,,8.6,,,,,,75.0,4.6,,0.0,,2.0
Abdelkabir Abqar,Getafe,DEF,,,1.0,2.0,1.0,,3.0,,,0.4,,0.2,,0.1,,,,,,,,,,,,,,,5.0
Abderrahman Rebbach,Alavés,ATT,1.3,23.5,,6.0,2.0,,16.0,,0.8,1.9,0.22,1.3,0.15,1.0,2.8,,,,0.8,,,0.5,,,,0.9,0.9,,4.0
Abdessamad Ezzalzouli,Real Betis,ATT,0.7,26.4,3.0,6.0,5.0,,14.0,,0.5,1.4,0.13,4.5,0.42,3.9,1.3,,0.37,,0.7,,1.0,1.5,,,,1.0,1.7,4.0,1.0
Abdon Prats,Mallorca,ATT,,,,,1.0,,2.0,,,0.1,,0.8,,1.0,,,,,,,,,,,,,,,
Abel Bretones,Osasuna,MID,1.4,20.3,,,,0.3,9.0,,2.7,0.7,0.05,0.6,0.04,0.9,0.9,,0.07,,1.0,,1.0,0.1,1.0,,,0.2,0.9,1.0,5.0
Abel Ruiz,Girona,ATT,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Abu Kamara,Getafe,ATT,,,,,1.0,,2.0,,,0.1,,0.3,,0.2,,,,,,,,,,,,,,,1.0
Adam Boayar,Elche,ATT,,,,,,,2.0,,,0.4,,0.3,,0.6,,,,,,,,,,,,,,1.0,
Adama Boiro,Athletic Club,DEF,,,,,,,2.0,,,0.3,,0.0,,,,,,,,,,,,,,,,,1.0
Adnan Januzaj,Sevilla,ATT,,,,,,,10.0,,,0.8,,0.1,,,,,,,,1.0,,,,,,,,,1.0
Adrià Altimira,Villarreal,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Adrià Pedrosa,Elche,DEF,1.0,31.6,1.0,2.0,,0.1,17.0,,3.4,1.3,0.16,0.4,0.05,0.9,1.7,,0.13,,1.2,,,0.4,,,,0.3,0.4,1.0,4.0
Adrián De La Fuente,Levante,DEF,4.9,35.4,1.0,1.0,2.0,0.8,5.0,,6.2,0.8,0.05,1.7,0.11,1.8,1.1,,0.13,,1.4,1.0,,0.1,,,,0.3,0.2,2.0,4.0
