ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Abakar Sylla,Strasbourg,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Abdallah Sima,Lens,ATT,1.2,21.1,,,,,3.0,,2.5,0.1,0.05,0.3,0.12,0.7,1.7,,0.41,,,,,1.2,,,,1.2,0.4,1.0,2.0
Abdelhamid Ait Boudlal,Rennes,DEF,2.1,43.0,1.0,1.0,,0.7,1.0,,4.5,0.4,0.04,1.2,0.15,1.9,0.7,,0.24,,0.7,,,0.1,1.0,,,0.2,0.4,2.0,2.0
Abdoul Ouattara,Strasbourg,MID,0.2,32.5,,3.0,,,3.0,,1.4,0.7,0.06,1.7,0.14,1.9,0.7,,0.17,,0.8,,1.0,0.2,,,,0.3,0.4,2.0,1.0
Abdoulaye Bamba,Angers,DEF,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
Abdoulaye Faye,Lorient,DEF,,,,,1.0,,,,,0.1,,0.5,,0.2,,,,,,1.0,,,,,,,,,5.0
Abdoulaye Touré,Le Havre,MID,2.6,31.5,,,2.0,0.5,3.0,,1.9,0.9,0.11,1.5,0.18,1.3,1.6,,0.24,,1.1,,,0.4,,,,0.5,0.4,2.0,2.0
Abner,Lyon,DEF,1.8,32.6,,1.0,1.0,0.1,7.0,,1.8,0.7,0.06,1.2,0.1,1.9,1.4,,0.25,,0.3,,,,1.0,,,0.3,0.3,3.0,3.0
Abu Francis,Toulouse,MID,,,,,,,1.0,,,0.2,,0.1,,,,,,,,,,,,,,,,,2.0
Achraf Hakimi,Paris Saint-Germain,DEF,1.4,79.4,,1.0,2.0,,10.0,,0.6,1.0,0.12,1.6,0.19,2.2,0.9,,0.25,,0.5,,,0.6,1.0,,,0.6,0.5,2.0,2.0
Adam Karabec,Lyon,ATT,0.5,21.0,,,1.0,0.1,16.0,,0.2,1.4,0.16,1.6,0.19,1.8,1.4,,0.12,,0.1,,,0.7,,,,0.5,1.2,1.0,2.0
Adama Camara,Paris FC,MID,1.5,34.7,,1.0,1.0,0.5,9.0,,2.0,0.5,0.03,1.7,0.11,1.2,1.1,,0.06,,1.1,,,0.2,,,,0.3,0.4,1.0,4.0
Adil Hamdani,Lyon,Code_2,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Adrien Rabiot,Marseille,MID,,,,,,,4.0,,,0.5,,0.0,,,,,,,,,,,,,,,,,1.0
Adrien Thomasson,Lens,MID,1.5,38.3,5.0,7.0,7.0,0.1,44.0,,1.1,3.8,0.21,4.4,0.24,3.9,2.3,,0.11,,0.6,,,0.5,,,,0.4,0.4,2.0,6.0
Afonso Moreira,Lyon,ATT,0.7,22.7,5.0,6.0,1.0,,19.0,,0.8,3.7,0.36,1.2,0.11,2.6,1.2,,0.2,,0.7,,,0.7,,,,0.7,1.0,2.0,2.0
Ainsley Maitland-Niles,Lyon,DEF,1.8,35.2,3.0,3.0,3.0,0.1,14.0,,2.7,2.3,0.13,2.2,0.13,1.7,1.6,,0.06,,1.2,,,0.3,1.0,,,0.3,0.5,1.0,3.0
Aissa Mandi,Lille,DEF,4.9,59.7,,,,0.7,7.0,,3.6,0.8,0.05,0.9,0.06,1.0,0.8,,0.07,,1.4,,,0.1,,,,0.1,0.2,1.0,5.0
